id,calmar,pnl,max_dd,sharpe,win_rate,trade_count,avg_ttr,topN,windowDays,f1Anchor,f1Max,w2,w3,f4Boost,maxTtrDays
5332c5181f7b1a56c228add7f7b780aa,4033.0734,195370.22,48.44,2.8694,0.5118,53396,-0.3,5,30,20,5,0.3,1,1,30
f4582898b399422fb59c1c671a58a142,3556.6038,141461.02,39.77,2.2460,0.5056,53582,-0.3,5,30,20,3,0.3,1,1.5,7
46b5b28893afc9f87d79c7045d34be34,3005.5467,162371.52,54.02,2.6878,0.5094,50835,-0.3,5,30,20,5,0.6,0.5,2,7
4bf2fd0c2b4f87c257b4ee1e3088bf08,2581.7199,110732.68,42.89,2.2707,0.5057,53411,-0.3,5,30,20,3,0.3,0.5,2,7
e17c28fb6fd09b781a41acc0f54af482,2556.5016,109651.04,42.89,2.2684,0.5057,53411,-0.3,5,30,20,3,0.3,0.5,1.5,7
9da319b33e92d7e0f2adf85bc7ff9987,2501.0200,134374.43,53.73,2.4130,0.5076,48578,-0.3,5,60,20,5,0,1,1,7
f54bf16b05c0c7aaf61a6847a7724309,2294.8686,95239.29,41.50,2.1599,0.5057,48951,-0.3,5,60,20,3,0,1,1,7
1f473b9f92b4a664ea4ac6710e9b5c3c,2102.0518,165204.43,78.59,2.7158,0.5335,59063,-0.3,5,14,20,5,0.3,1,2,
c8d64f0c270a320b90492801b3d102f7,2012.9714,113023.61,56.15,2.7693,0.5048,53618,-0.3,5,30,20,5,0.3,0,2,14
aca7f89ebe9c19e6aa74563aa7ad3eca,1978.2022,109149.68,55.18,2.6435,0.4875,43880,-0.4,5,30,100,3,0.3,1,1.5,3
6268f6d18c596cc8067725123639e0fd,1919.2486,134248.26,69.95,2.7505,0.5122,49794,-0.3,5,30,500,5,0.6,1,2,7
fbfddb7f7c0a7d38bb12b7af71a9599b,1848.4704,149941.76,81.12,2.7367,0.5098,54210,-0.3,10,60,20,5,0.3,1,1.5,14
a175678321b40f3fa142c3aff750293a,1841.1095,125759.99,68.31,2.5134,0.5069,51904,-0.3,5,30,500,5,0.3,1,2,14
0de4af09954e500bd73d1551c319cb82,1817.3688,120882.39,66.52,2.7717,0.5064,51762,-0.3,5,30,100,5,0.3,0.5,1,14
0b139b4748df3b30b8baa71ff71c4ed4,1817.3688,120882.39,66.52,2.7717,0.5064,51762,-0.3,5,30,100,5,0.3,0.5,1,14
ab3af7381abcb568aba9020510fadada,1732.6957,131909.93,76.13,2.6785,0.5176,50282,-0.3,5,30,500,5,0.6,1,1.5,30
b38182782966eb4a498509803493b09b,1693.6334,122334.50,72.23,2.6855,0.5158,51559,-0.3,5,30,100,3,0.6,1,1.5,30
3bce4a16dd616b7fab89ef29dc489405,1670.5224,105608.95,63.22,2.4066,0.5188,64748,-0.3,5,14,500,5,0.3,1,2,7
d71c4d2f1f3c997fa1b9d67f0b7b76d4,1638.3195,115489.23,70.49,2.5406,0.5219,47065,-0.4,5,14,100,5,0.6,1,1.5,3
aa706407bc06edd78afc8171795c1e79,1630.3199,133473.18,81.87,2.1156,0.5259,44165,-0.4,5,14,20,5,0.3,1,1,3
94dcefd05127bc4242aeb9d475d142b2,1627.2143,99455.46,61.12,2.4479,0.5138,40519,-0.3,5,60,20,3,0.6,1,1,14
2c8a66b66ba78573ae928f8e379683b0,1627.0933,96077.33,59.05,2.4579,0.5224,63883,-0.3,5,14,20,3,0.3,0.5,1,30
02345934f655be52879a8e76e4e16a04,1610.5642,97912.79,60.79,2.1274,0.5185,63912,-0.3,5,14,100,3,0,1,1,7
3564b8a6c527c5d1868e9034393ea1f1,1572.0228,102724.74,65.35,2.6768,0.5173,64641,-0.3,5,14,20,5,0.6,0,1.5,14
9d2da9f077950d44481a24da1d2ca4c5,1570.6672,147757.15,94.07,2.7859,0.4844,47237,-0.2,5,30,20,5,0.6,0.5,2,
93d9d11da034eee100fe78b93be8bdc3,1565.6280,94909.33,60.62,2.2988,0.4886,43446,-0.4,5,30,20,5,0,0,2,3
82440513083525844714f2e9ee9149f7,1539.3328,98005.49,63.67,2.7966,0.5063,51849,-0.3,5,30,100,3,0.6,0.5,2,14
465dda8fa92a956b3ccf619a574a4cb7,1511.0264,111761.58,73.96,2.5698,0.5158,53451,-0.3,10,60,20,3,0.6,1,1,30
de6f77aa516b37489e861e71226dda6f,1508.1513,105779.50,70.14,2.4825,0.5170,65033,-0.3,5,14,100,3,0.3,1,2,14
7bdf4cf38b9839b95b95162753c8c031,1477.5987,121421.90,82.18,2.4158,0.5173,50577,-0.2,10,60,20,3,0,1,1.5,
84672b1346b27e40a4ae90ac77a69043,1455.8332,105104.36,72.20,2.4619,0.4815,53109,-0.2,5,30,20,3,0,0.5,1.5,
954ea0a3af9d53b441452cc980c486f6,1452.5436,117679.32,81.02,2.6466,0.5193,51559,-0.2,10,60,100,5,0.3,1,1,30
11fdd4b43fb1cb70557f2961e8688803,1452.5436,117679.32,81.02,2.6466,0.5193,51559,-0.2,10,60,100,5,0.3,1,1,30
e5203ea813a14aa924685288ad42638b,1446.8917,71236.26,49.23,2.3140,0.5132,40475,-0.3,5,60,20,3,0,0.5,1,30
2e6852d1429bad484fde557e5fd72e73,1431.8059,97216.63,67.90,2.4801,0.5134,40594,-0.3,5,60,20,3,0.6,1,2,30
821f753bf3eb6a1679ef22e6e98e7990,1421.4387,111701.03,78.58,2.7405,0.5015,22083,-0.5,5,60,20,5,0.3,1,1.5,3
b1717c9a36e37faa29b3f3f7d870e7ca,1414.7469,81723.82,57.77,2.6974,0.4865,43672,-0.4,5,30,100,5,0.3,0,2,3
4fec60c3922db0a8ee1f8677a107caf8,1413.1886,89002.24,62.98,2.3847,0.5088,51537,-0.3,5,30,100,3,0,0.5,2,7
1cde2fc81273b8a45019f9eb1eb42929,1386.4005,89500.56,64.56,2.8295,0.5066,51702,-0.3,5,30,100,5,0.3,0,1.5,14
63be6b605240375b5ff35e043b4a0c22,1381.2361,101398.40,73.41,2.4961,0.5123,43168,-0.3,5,60,100,5,0,1,1,30
38a33fee543e34b586c0c7b801bdf3b8,1380.5652,109427.73,79.26,2.5807,0.5198,62318,-0.3,5,14,500,5,0.6,1,1.5,14
084dfe8c57b94356c11fa0cb3833b4a9,1380.0706,105907.70,76.74,2.2634,0.5101,53794,-0.3,10,60,20,3,0.6,1,1,7
37961d3c7dfe49b032f4f264d96f784b,1379.0255,109305.69,79.26,2.5806,0.5198,62321,-0.3,5,14,500,5,0.6,1,1,14
f0ed96a8631b4eafa89c43c41069cf04,1364.0502,111261.49,81.57,2.5116,0.5190,63812,-0.2,20,14,20,5,0.6,1,1.5,14
7a5ce7501aee709f9dccaac0705d360c,1341.0374,107034.49,79.81,2.5644,0.4815,53055,-0.2,5,30,20,3,0.3,0.5,1,
ea77dc8a8a58c8b9d1369f54371b02c6,1328.7291,108043.09,81.31,2.5934,0.5258,61347,-0.3,5,14,500,5,0.6,1,2,30
5539e8fbaa9d01bb545ece6480fbc21c,1324.5491,63718.65,48.11,2.9216,0.4898,46215,-0.4,5,30,100,3,0.3,0,2,3
